epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.041,1.4853,2.58934,1.4573,0.72407,0.40075,0.45243,0.26927,1.43089,1.434,1.3334,0.0700405,0.00332883,0.00332883
2,308.513,1.34255,1.49396,1.31975,0.70618,0.4996,0.55387,0.35328,1.28807,1.1748,1.24144,0.0400404,0.00666198,0.00666198
3,483.447,1.35364,1.45312,1.32643,0.54999,0.45096,0.44783,0.27179,1.37451,1.45371,1.33706,0.0100395,0.00999441,0.00999441
4,657.821,1.37012,1.45061,1.34755,0.68289,0.48639,0.55052,0.3365,1.3293,1.22503,1.30632,0.00999756,0.00999756,0.00999756
5,833.09,1.33672,1.33766,1.33151,0.66349,0.57639,0.63597,0.39308,1.32969,1.14293,1.30217,0.00999566,0.00999566,0.00999566
6,1008.75,1.29589,1.21375,1.31031,0.63714,0.67729,0.70674,0.4499,1.21507,0.9446,1.232,0.00999322,0.00999322,0.00999322
7,1182.44,1.27554,1.16794,1.29755,0.73615,0.66558,0.73894,0.48395,1.146,0.90817,1.19926,0.00999023,0.00999023,0.00999023
8,1357.54,1.24503,1.09843,1.27584,0.77943,0.71462,0.78953,0.52029,1.14511,0.83494,1.19486,0.00998671,0.00998671,0.00998671
9,1533.78,1.22289,1.04612,1.26202,0.77879,0.74179,0.81624,0.53979,1.13696,0.77881,1.18109,0.00998264,0.00998264,0.00998264
10,1709.21,1.20019,1.00419,1.24969,0.75189,0.78492,0.84631,0.57264,1.09375,0.72172,1.16112,0.00997803,0.00997803,0.00997803
11,1882.76,1.19565,0.97551,1.23682,0.8099,0.82762,0.88993,0.59432,1.06691,0.69048,1.13638,0.00997288,0.00997288,0.00997288
12,2058.57,1.17467,0.93615,1.2243,0.80657,0.80876,0.88388,0.59705,1.08736,0.68779,1.15218,0.0099672,0.0099672,0.0099672
13,2234.09,1.16092,0.9123,1.21382,0.86629,0.83621,0.90604,0.62858,1.03745,0.63068,1.11304,0.00996097,0.00996097,0.00996097
14,2410.52,1.14257,0.87607,1.2001,0.86947,0.824,0.92079,0.64544,1.01995,0.6139,1.11251,0.0099542,0.0099542,0.0099542
15,2585.85,1.1316,0.86069,1.19498,0.88419,0.85776,0.92232,0.65049,0.99335,0.58918,1.09071,0.0099469,0.0099469,0.0099469
16,2761.65,1.12,0.84195,1.18733,0.87484,0.87477,0.93234,0.66195,0.97876,0.57474,1.0857,0.00993906,0.00993906,0.00993906
17,2936.99,1.1081,0.82759,1.17887,0.87951,0.88791,0.94268,0.6755,0.97068,0.55264,1.07565,0.00993068,0.00993068,0.00993068
18,3112.51,1.09986,0.81169,1.17041,0.87613,0.89223,0.93481,0.64615,1.00674,0.56049,1.09632,0.00992177,0.00992177,0.00992177
19,3287.78,1.09352,0.80469,1.17008,0.8878,0.90121,0.9496,0.68398,0.98013,0.53816,1.07807,0.00991232,0.00991232,0.00991232
20,3463.32,1.08613,0.79383,1.16514,0.91509,0.90652,0.95444,0.6983,0.94488,0.51821,1.05837,0.00990234,0.00990234,0.00990234
21,3639.2,1.07616,0.77734,1.15721,0.91628,0.90296,0.95169,0.69333,0.95869,0.51071,1.06826,0.00989183,0.00989183,0.00989183
22,3813.67,1.06949,0.77174,1.15407,0.917,0.90645,0.95547,0.70433,0.92533,0.4995,1.05013,0.00988079,0.00988079,0.00988079
23,3989.23,1.06387,0.76285,1.15227,0.93258,0.90142,0.96083,0.707,0.92473,0.48841,1.04363,0.00986922,0.00986922,0.00986922
24,4164.87,1.06281,0.75741,1.14994,0.93468,0.90843,0.96264,0.72018,0.90758,0.47968,1.03382,0.00985711,0.00985711,0.00985711
25,4340.38,1.05047,0.74506,1.14111,0.92707,0.92256,0.95759,0.71603,0.90426,0.4792,1.03603,0.00984449,0.00984449,0.00984449
26,4513.43,1.04196,0.7311,1.13621,0.91014,0.91493,0.9606,0.72399,0.88881,0.46886,1.02504,0.00983133,0.00983133,0.00983133
27,4689.25,1.04034,0.72786,1.13634,0.91557,0.92748,0.96444,0.72449,0.88638,0.46351,1.0257,0.00981765,0.00981765,0.00981765
28,4864.76,1.02615,0.71862,1.12581,0.92072,0.91388,0.95882,0.72577,0.88142,0.46014,1.01992,0.00980345,0.00980345,0.00980345
29,5040.32,1.02848,0.71329,1.12476,0.92375,0.92256,0.96555,0.73857,0.86808,0.45081,1.01765,0.00978873,0.00978873,0.00978873
30,5215.83,1.01521,0.69879,1.11905,0.93756,0.94029,0.97011,0.74194,0.8646,0.44268,1.01401,0.00977349,0.00977349,0.00977349
31,5391.22,1.01808,0.7034,1.12092,0.93793,0.93478,0.96674,0.73531,0.86585,0.44855,1.01122,0.00975773,0.00975773,0.00975773
